Best Director,,
Boyhood,New York Film Cirtics,0.4375
Boyhood,LA Film Critics,0.411764706
Boyhood,DC Film Critics,0.5
Boyhood,Boston Film Critics,0.235294118
Boyhood,San Francisco Critics,0.2
Birdman or (The Unexpected Virtue of Ignorance),Las Vegas Critics,0.647058824
Boyhood,Houston Critics,0.375
Boyhood,Natrional Society of Film Critics,0.176470588
Birdman or (The Unexpected Virtue of Ignorance),Directors Guild,1.235294118
Boyhood,Critics Choice,0.588235294
Boyhood,Golden Globes,0.470588235