Best Original Screenplay,
The Grand Budapest Hotel,New York Film Critics
The Grand Budapest Hotel,LA Film Critics
Birdman or (The Unexpected Virtue of Ignorance),DC Film Critics
Boyhood,Boston Film Critics
Birdman or (The Unexpected Virtue of Ignorance),San Francisco Critics
Birdman or (The Unexpected Virtue of Ignorance),Las Vegas Critics
Boyhood,Houston Critics
Birdman or (The Unexpected Virtue of Ignorance),Critics Choice
Birdman or (The Unexpected Virtue of Ignorance),Golden Globes
The Grand Budapest Hotel,National Society of Film Critics
The Grand Budapest Hotel,Writers Guild